ID,KR,EN
BTN_START,게임 시작,Start Game
BTN_LANGUAGE,언어,Language
BTN_SETTING,설정,Setting
BTN_EXIT,종료,Exit
DESC_END_UPGRADE,업그레이드가 끝났습니다!,Upgrade is finished!
DESC_END_UPGRADE_TITLE,끝!,End!
DESC_COST,비용 : ,Cost : ,
DESC_FIRST,시작을 축하합니다!,Congratulations on the start!
DESC_FIRST_TITLE,최초!,Welcome!
DESC_ATK_01,공격력을 {UpValue} 증가시킵니다.,Up {UpValue} your Attack Stats
DESC_ATK_01_TITLE,공격력 증가,Up Attack
DESC_ATK_02,공격력을 {UpValue}배 증가시킵니다.,Up {UpValue} times your Attack Stats
DESC_ATK_02_TITLE,공격력 배수 증가,Up Attack Multply
DESC_DEF_01,방어력을 {UpValue} 증가시킵니다.,Up {UpValue} your Defence Stats
DESC_DEF_01_TITLE,방어력 증가,Up Defence
DESC_CLICK_01,클릭당 코인을 {UpValue} 증가시킵니다.,Up {UpValue} your Coin By Click
DESC_CLICK_01_TITLE,클릭당 코인 증가,Up Coin By Click
TXT_CLICK_WINDOW,클릭!,Click!
TXT_STATS_WINDOW,능력치,Stats
TXT_UPGRADE_WINDOW,업그래이드,Upgrade
TXT_RELIC_WINDOW,유물,Relic
TXT_DUNGEON_WINDOW,던전,Dungeon
TXT_ATK,공격력 :,Attack :
TXT_DEFENCE,방어력 :,Defence :
TXT_HEALTH,생명력 :,Health :
TXT_CTC,크리티컬 확률 :,Critical Chance :
TXT_CTD,크리티컬 데미지 :,Critical Damage :
TXT_CBC,클릭 당 코인 :,Coin By Click :
TXT_RGP,희귀 아이템 드롭 확률 :,Rare Goods Probability :
TXT_BFE,이로운 효과 :,Benfit Effect :
TXT_SPEED,자동 사냥 배율 :,Auto Hunting Speed :
TXT_RB,환생 보너스 :,Reincarnation Bonus :
TXT_SKIN_EQUIP,스킨 장착,Equip Skin
TXT_SKIN_UNEQUIP,스킨 해제,Unequip Skin
DGN_TITLE_01,초원,Grassland
DGN_TITLE_02,사막,Desert
DGN_TITLE_03,빙하,Glacier
DGN_TITLE_04,화산,Volcano
DGN_TITLE_05,심해,Deep Sea
DGN_TITLE_06,우주,Space
DGN_TITLE_07,지옥,Hell
DGN_DESC_REWARD_SUCCESS,던전 클리어!, Dungeon Clear!
DGN_DESC_REWARD_FAILED,던전 실패!, Dungeon Failed!
DGN_DESC_REWARD_CLICK,클릭 획득 : {GettenClick},Click Reward : {GettenClick}
DGN_DESC_REWARD_COIN,코인 획득 : {GettenCoin},Coin Reward : {GettenCoin}
DGN_DESC_REWARD_RELIC,유물 획득 : {GettenRelic},Relic Getten : {GettenRelic}
DGN_DESC_TOOLTIP_CLICK,던전 클리어 보상 {StageClick} + 몬스터 격퇴 {GettenClick} \n * \n 1 + (클릭 배수 {ClickMultiply} * 환생 보너스 * 이로운 효과 {TotalBenefit}),Clear Reward {GettenClick}\n + \n Click Multiplier {ClickMultiply} * ReincarnationBonus * BenfitEffect {TotalBenefit}   
DGN_DESC_TOOLTIP_COIN,던전 클리어 보상 {StageCoin} + 확률 획득 {GettenCoin}\n 획득 확률 {DropRate} * 환생 보너스 * 이로운 효과 {TotalBenefit},Clear Reward {GettenCoin}\n + \n Drop Rate {DropRate} * ReincarnationBonus * BenfitEffect {TotalBenefit}
DGN_DESC_TOOLTIP_COIN_EXTRA,1 Coin = 3 Click,1 Coin = 3 Click
DGN_DESC_TOOLTIP_RELIC,유물,RELIC
DGN_DESC_TOOLTIP_CLICK_TITLE,클릭 보상,Click Reward
DGN_DESC_TOOLTIP_COIN_TITLE,코인 보상,Coin Reward
DGN_DESC_TOOLTIP_RELIC_TITLE,유물 보상,Relic Reward
AUTO_OFFLINE_TITLE,오프라인 보상,Offline Reward
AUTO_OFFLINE_CONTENT,얻은 클릭 : {GettenCoin},Clicks Obtained : {GettenCoin}
AUTO_OFFLINE_GET,보상 받기,Get Reward
